ProductionOrderID,MaterialNumber,MaterialName,ProductComplexity,OrderDate,PlannedQty,MachineClass,PlantID
PO100046,FG0017,Valeo Sway Bar,MED,2025-07-27,53,MILL,PLT3
PO100047,FG0028,ACDelco Bearing,LOW,2025-11-07,103,CNC,PLT1
PO100048,FG0003,Magneti Marelli Radiator,HIGH,2025-11-08,111,ROBOT,PLT2
PO100049,FG0009,TRW Crankshaft,LOW,2025-03-01,180,ROBOT,PLT3
PO100050,FG0018,Genuine Oil Pump,LOW,2025-11-09,65,PRESS,PLT1
PO100051,FG0022,Remanufactured Caliper,LOW,2025-12-02,115,MILL,PLT3
PO100052,FG0028,ACDelco Bearing,LOW,2025-08-09,182,GRIND,PLT1
PO100053,FG0018,Genuine Oil Pump,LOW,2025-05-12,149,GRIND,PLT1
PO100054,FG0023,ACDelco Oil Pump,HIGH,2025-04-27,114,ROBOT,PLT1
PO100055,FG0010,Bosch Camshaft,MED,2025-08-08,66,PRESS,PLT2
PO100056,FG0012,OEM Catalytic Converter,HIGH,2025-06-01,130,PRESS,PLT3
PO100057,FG0026,Delphi Camshaft,LOW,2025-01-29,173,CNC,PLT3
PO100058,FG0020,Bosch Fan,MED,2025-05-07,82,CNC,PLT3
PO100059,FG0015,Aftermarket Airbag Module,MED,2025-03-02,135,ROBOT,PLT3
PO100060,FG0001,Aftermarket Gearbox,MED,2025-09-16,67,ROBOT,PLT3
PO100061,FG0025,Performance Fuel Injector,MED,2025-04-26,33,GRIND,PLT1
PO100062,FG0010,Bosch Camshaft,MED,2025-08-05,54,CNC,PLT3
PO100063,FG0010,Bosch Camshaft,MED,2025-02-22,137,ROBOT,PLT1
PO100064,FG0027,TRW Gearbox,MED,2025-03-05,160,MILL,PLT1
PO100065,FG0016,OEM Caliper,LOW,2025-12-28,60,CNC,PLT3
PO100066,FG0005,Remanufactured Gearbox,LOW,2025-01-07,115,GRIND,PLT2
PO100067,FG0028,ACDelco Bearing,LOW,2025-08-02,83,CNC,PLT2
PO100068,FG0011,Valeo Radiator,LOW,2025-11-24,27,GRIND,PLT2
PO100069,FG0011,Valeo Radiator,LOW,2025-07-15,41,ROBOT,PLT1
PO100070,FG0027,TRW Gearbox,MED,2025-04-10,147,CNC,PLT2
PO100071,FG0006,Aftermarket Timing Belt,HIGH,2025-08-06,35,PRESS,PLT2
PO100072,FG0021,Performance Differential,MED,2025-08-31,195,GRIND,PLT1
PO100073,FG0026,Delphi Camshaft,LOW,2025-01-07,19,MILL,PLT1
PO100074,FG0026,Delphi Camshaft,LOW,2025-03-26,171,GRIND,PLT3
PO100075,FG0023,ACDelco Oil Pump,HIGH,2025-04-03,127,ROBOT,PLT1
PO100076,FG0024,Denso Turbocharger,HIGH,2025-07-22,109,PRESS,PLT3
PO100077,FG0025,Performance Fuel Injector,MED,2025-09-05,111,ROBOT,PLT3
PO100078,FG0012,OEM Catalytic Converter,HIGH,2025-07-26,60,ROBOT,PLT3
PO100079,FG0003,Magneti Marelli Radiator,HIGH,2025-12-25,38,MILL,PLT3
PO100080,FG0030,Magneti Marelli Sensor,MED,2025-07-07,189,CNC,PLT1
PO100081,FG0006,Aftermarket Timing Belt,HIGH,2025-10-18,78,MILL,PLT2
PO100082,FG0023,ACDelco Oil Pump,HIGH,2025-05-29,188,CNC,PLT3
PO100083,FG0009,TRW Crankshaft,LOW,2025-11-21,134,PRESS,PLT1
PO100084,FG0011,Valeo Radiator,LOW,2025-09-07,99,CNC,PLT2
PO100085,FG0010,Bosch Camshaft,MED,2025-12-17,60,CNC,PLT3
PO100086,FG0017,Valeo Sway Bar,MED,2025-03-14,184,GRIND,PLT3
PO100087,FG0022,Remanufactured Caliper,LOW,2025-11-30,56,PRESS,PLT2
PO100088,FG0023,ACDelco Oil Pump,HIGH,2025-06-21,177,ROBOT,PLT2
PO100089,FG0009,TRW Crankshaft,LOW,2025-11-17,132,PRESS,PLT2
PO100090,FG0008,Delphi Exhaust Manifold,MED,2025-07-08,26,ROBOT,PLT2
PO100091,FG0015,Aftermarket Airbag Module,MED,2025-09-24,111,ROBOT,PLT3
PO100092,FG0022,Remanufactured Caliper,LOW,2025-07-28,94,CNC,PLT3
PO100093,FG0028,ACDelco Bearing,LOW,2025-11-26,142,GRIND,PLT3
PO100094,FG0027,TRW Gearbox,MED,2025-10-19,105,CNC,PLT1
PO100095,FG0016,OEM Caliper,LOW,2025-03-16,91,ROBOT,PLT2
PO100096,FG0009,TRW Crankshaft,LOW,2025-01-09,49,GRIND,PLT3
PO100097,FG0006,Aftermarket Timing Belt,HIGH,2025-05-18,162,ROBOT,PLT3
PO100098,FG0007,Sport Shock Absorber,MED,2025-11-20,129,PRESS,PLT2
PO100099,FG0023,ACDelco Oil Pump,HIGH,2025-04-27,76,ROBOT,PLT2
PO100100,FG0030,Magneti Marelli Sensor,MED,2025-08-01,83,MILL,PLT1
PO100101,FG0024,Denso Turbocharger,HIGH,2025-08-08,119,GRIND,PLT2
PO100102,FG0029,ACDelco Catalytic Converter,LOW,2025-06-20,22,CNC,PLT2
PO100103,FG0015,Aftermarket Airbag Module,MED,2025-05-18,78,PRESS,PLT3
PO100104,FG0009,TRW Crankshaft,LOW,2025-02-17,73,CNC,PLT1
PO100105,FG0008,Delphi Exhaust Manifold,MED,2025-09-07,18,PRESS,PLT1
PO100106,FG0014,Valeo Airbag Module,HIGH,2025-12-15,148,PRESS,PLT1
PO100107,FG0029,ACDelco Catalytic Converter,LOW,2025-02-06,99,ROBOT,PLT2
PO100108,FG0026,Delphi Camshaft,LOW,2025-11-18,75,PRESS,PLT2
PO100109,FG0018,Genuine Oil Pump,LOW,2025-03-15,195,CNC,PLT2
PO100110,FG0028,ACDelco Bearing,LOW,2025-07-10,20,MILL,PLT2
PO100111,FG0018,Genuine Oil Pump,LOW,2025-04-05,34,CNC,PLT1
PO100112,FG0011,Valeo Radiator,LOW,2025-06-25,27,GRIND,PLT1
PO100113,FG0021,Performance Differential,MED,2025-08-27,137,MILL,PLT3
PO100114,FG0010,Bosch Camshaft,MED,2025-02-10,54,PRESS,PLT1
PO100115,FG0015,Aftermarket Airbag Module,MED,2025-04-18,69,ROBOT,PLT1
PO100116,FG0026,Delphi Camshaft,LOW,2025-11-16,156,GRIND,PLT1
PO100117,FG0011,Valeo Radiator,LOW,2025-12-26,126,GRIND,PLT2
PO100118,FG0019,Performance Bearing,HIGH,2025-12-14,121,CNC,PLT2
PO100119,FG0010,Bosch Camshaft,MED,2025-02-20,188,PRESS,PLT1
PO100120,FG0011,Valeo Radiator,LOW,2025-07-21,90,CNC,PLT3
PO100121,FG0020,Bosch Fan,MED,2025-11-05,151,ROBOT,PLT2
PO100122,FG0016,OEM Caliper,LOW,2025-07-17,108,CNC,PLT1
PO100123,FG0017,Valeo Sway Bar,MED,2025-04-03,96,CNC,PLT1
PO100124,FG0026,Delphi Camshaft,LOW,2025-11-07,81,MILL,PLT2
PO100125,FG0022,Remanufactured Caliper,LOW,2025-09-26,150,PRESS,PLT3
PO100126,FG0016,OEM Caliper,LOW,2025-05-16,168,MILL,PLT1
PO100127,FG0023,ACDelco Oil Pump,HIGH,2025-10-05,15,ROBOT,PLT1
PO100128,FG0022,Remanufactured Caliper,LOW,2025-03-17,124,GRIND,PLT2
PO100129,FG0026,Delphi Camshaft,LOW,2025-02-14,54,GRIND,PLT3
PO100130,FG0011,Valeo Radiator,LOW,2025-02-06,83,PRESS,PLT1
PO100131,FG0007,Sport Shock Absorber,MED,2025-11-05,127,CNC,PLT2
PO100132,FG0010,Bosch Camshaft,MED,2025-05-31,21,MILL,PLT1
PO100133,FG0023,ACDelco Oil Pump,HIGH,2025-03-31,177,ROBOT,PLT1
PO100134,FG0021,Performance Differential,MED,2025-11-07,119,GRIND,PLT3
PO100135,FG0002,Bosch Timing Belt,MED,2025-05-04,111,MILL,PLT3
PO100136,FG0019,Performance Bearing,HIGH,2025-04-01,73,PRESS,PLT1
PO100137,FG0016,OEM Caliper,LOW,2025-02-28,16,GRIND,PLT1
PO100138,FG0028,ACDelco Bearing,LOW,2025-11-21,10,ROBOT,PLT1
PO100139,FG0026,Delphi Camshaft,LOW,2025-07-08,63,MILL,PLT2
PO100140,FG0022,Remanufactured Caliper,LOW,2025-07-13,84,MILL,PLT3
PO100141,FG0024,Denso Turbocharger,HIGH,2025-06-08,78,CNC,PLT2
PO100142,FG0007,Sport Shock Absorber,MED,2025-02-15,44,GRIND,PLT1
PO100143,FG0009,TRW Crankshaft,LOW,2025-06-25,168,GRIND,PLT1
PO100144,FG0010,Bosch Camshaft,MED,2025-03-01,80,MILL,PLT3
PO100145,FG0024,Denso Turbocharger,HIGH,2025-03-17,41,PRESS,PLT3
PO100146,FG0008,Delphi Exhaust Manifold,MED,2025-01-11,82,CNC,PLT1
PO100147,FG0007,Sport Shock Absorber,MED,2025-12-01,10,PRESS,PLT3
PO100148,FG0002,Bosch Timing Belt,MED,2025-08-10,23,MILL,PLT3
PO100149,FG0025,Performance Fuel Injector,MED,2025-05-27,110,MILL,PLT2
PO100150,FG0014,Valeo Airbag Module,HIGH,2025-03-10,169,GRIND,PLT1
PO100151,FG0021,Performance Differential,MED,2025-10-26,165,ROBOT,PLT2
PO100152,FG0005,Remanufactured Gearbox,LOW,2025-06-21,169,CNC,PLT3
PO100153,FG0013,Bosch Shock Absorber,MED,2025-12-03,139,PRESS,PLT2
PO100154,FG0011,Valeo Radiator,LOW,2025-01-19,187,PRESS,PLT1
PO100155,FG0021,Performance Differential,MED,2025-10-17,134,ROBOT,PLT1
PO100156,FG0014,Valeo Airbag Module,HIGH,2025-10-02,131,ROBOT,PLT3
PO100157,FG0008,Delphi Exhaust Manifold,MED,2025-03-19,50,GRIND,PLT2
PO100158,FG0006,Aftermarket Timing Belt,HIGH,2025-06-09,64,ROBOT,PLT3
PO100159,FG0023,ACDelco Oil Pump,HIGH,2025-01-01,115,GRIND,PLT1
PO100160,FG0019,Performance Bearing,HIGH,2025-04-13,176,CNC,PLT2
PO100161,FG0017,Valeo Sway Bar,MED,2025-06-17,161,CNC,PLT2
PO100162,FG0017,Valeo Sway Bar,MED,2025-02-25,159,ROBOT,PLT2
PO100163,FG0022,Remanufactured Caliper,LOW,2025-05-24,39,GRIND,PLT2
PO100164,FG0015,Aftermarket Airbag Module,MED,2025-04-27,88,ROBOT,PLT3
PO100165,FG0025,Performance Fuel Injector,MED,2025-06-18,67,ROBOT,PLT2
PO100166,FG0005,Remanufactured Gearbox,LOW,2025-08-07,23,MILL,PLT2
PO100167,FG0006,Aftermarket Timing Belt,HIGH,2025-12-13,109,PRESS,PLT2
PO100168,FG0004,Valeo Drive Shaft,MED,2025-03-06,27,ROBOT,PLT3
PO100169,FG0028,ACDelco Bearing,LOW,2025-11-05,120,CNC,PLT3
PO100170,FG0024,Denso Turbocharger,HIGH,2025-06-14,65,GRIND,PLT3
PO100171,FG0021,Performance Differential,MED,2025-10-01,62,GRIND,PLT2
PO100172,FG0028,ACDelco Bearing,LOW,2025-07-13,152,ROBOT,PLT1
PO100173,FG0009,TRW Crankshaft,LOW,2025-04-21,78,GRIND,PLT3
PO100174,FG0020,Bosch Fan,MED,2025-05-14,149,ROBOT,PLT2
PO100175,FG0030,Magneti Marelli Sensor,MED,2025-05-28,179,MILL,PLT1
PO100176,FG0013,Bosch Shock Absorber,MED,2025-09-20,122,MILL,PLT3
PO100177,FG0017,Valeo Sway Bar,MED,2025-11-28,72,MILL,PLT1
PO100178,FG0007,Sport Shock Absorber,MED,2025-08-25,86,PRESS,PLT3
PO100179,FG0002,Bosch Timing Belt,MED,2025-05-29,98,MILL,PLT1
PO100180,FG0027,TRW Gearbox,MED,2025-02-15,167,CNC,PLT1
PO100181,FG0023,ACDelco Oil Pump,HIGH,2025-09-01,34,ROBOT,PLT3
PO100182,FG0006,Aftermarket Timing Belt,HIGH,2025-08-30,67,CNC,PLT3
PO100183,FG0010,Bosch Camshaft,MED,2025-04-30,162,CNC,PLT1
PO100184,FG0009,TRW Crankshaft,LOW,2025-10-12,188,GRIND,PLT3
PO100185,FG0011,Valeo Radiator,LOW,2025-04-01,183,ROBOT,PLT1
PO100186,FG0024,Denso Turbocharger,HIGH,2025-02-17,175,PRESS,PLT3
PO100187,FG0005,Remanufactured Gearbox,LOW,2025-02-20,63,PRESS,PLT1
PO100188,FG0028,ACDelco Bearing,LOW,2025-09-04,183,GRIND,PLT3
PO100189,FG0016,OEM Caliper,LOW,2025-03-15,192,MILL,PLT2
PO100190,FG0022,Remanufactured Caliper,LOW,2025-09-14,156,GRIND,PLT2
PO100191,FG0024,Denso Turbocharger,HIGH,2025-08-11,151,PRESS,PLT1
PO100192,FG0007,Sport Shock Absorber,MED,2025-08-17,22,PRESS,PLT3
PO100193,FG0002,Bosch Timing Belt,MED,2025-12-23,108,PRESS,PLT2
PO100194,FG0014,Valeo Airbag Module,HIGH,2025-09-08,113,CNC,PLT2
PO100195,FG0002,Bosch Timing Belt,MED,2025-05-27,143,GRIND,PLT3
PO100196,FG0008,Delphi Exhaust Manifold,MED,2025-08-11,78,MILL,PLT1
PO100197,FG0009,TRW Crankshaft,LOW,2025-12-08,170,GRIND,PLT1
PO100198,FG0004,Valeo Drive Shaft,MED,2025-04-28,172,MILL,PLT3
PO100199,FG0022,Remanufactured Caliper,LOW,2025-06-28,94,ROBOT,PLT3
PO100200,FG0006,Aftermarket Timing Belt,HIGH,2025-05-02,163,PRESS,PLT2
PO100201,FG0008,Delphi Exhaust Manifold,MED,2025-11-30,191,GRIND,PLT1
PO100202,FG0026,Delphi Camshaft,LOW,2025-11-04,187,GRIND,PLT1
PO100203,FG0030,Magneti Marelli Sensor,MED,2025-09-29,199,ROBOT,PLT1
PO100204,FG0014,Valeo Airbag Module,HIGH,2025-10-06,29,MILL,PLT2
PO100205,FG0017,Valeo Sway Bar,MED,2025-06-16,142,PRESS,PLT2
PO100206,FG0009,TRW Crankshaft,LOW,2025-08-24,130,PRESS,PLT1
PO100207,FG0017,Valeo Sway Bar,MED,2025-04-05,97,MILL,PLT2
PO100208,FG0003,Magneti Marelli Radiator,HIGH,2025-05-30,64,PRESS,PLT2
PO100209,FG0021,Performance Differential,MED,2025-10-25,65,GRIND,PLT2
PO100210,FG0021,Performance Differential,MED,2025-03-03,79,CNC,PLT1
PO100211,FG0006,Aftermarket Timing Belt,HIGH,2025-05-03,96,ROBOT,PLT1
PO100212,FG0029,ACDelco Catalytic Converter,LOW,2025-11-03,54,CNC,PLT3
PO100213,FG0026,Delphi Camshaft,LOW,2025-10-10,124,CNC,PLT1
PO100214,FG0002,Bosch Timing Belt,MED,2025-05-23,95,GRIND,PLT1
PO100215,FG0009,TRW Crankshaft,LOW,2025-03-12,189,CNC,PLT1
PO100216,FG0027,TRW Gearbox,MED,2025-06-04,86,ROBOT,PLT3
PO100217,FG0007,Sport Shock Absorber,MED,2025-12-07,65,GRIND,PLT2
PO100218,FG0014,Valeo Airbag Module,HIGH,2025-01-26,188,CNC,PLT2
PO100219,FG0027,TRW Gearbox,MED,2025-10-16,57,PRESS,PLT2
PO100220,FG0002,Bosch Timing Belt,MED,2025-11-19,52,ROBOT,PLT2
PO100221,FG0008,Delphi Exhaust Manifold,MED,2025-02-10,145,GRIND,PLT2
PO100222,FG0004,Valeo Drive Shaft,MED,2025-03-06,39,MILL,PLT2
PO100223,FG0020,Bosch Fan,MED,2025-07-21,56,MILL,PLT1
PO100224,FG0012,OEM Catalytic Converter,HIGH,2025-09-08,161,ROBOT,PLT1
PO100225,FG0020,Bosch Fan,MED,2025-12-29,14,GRIND,PLT1
PO100226,FG0001,Aftermarket Gearbox,MED,2025-07-08,30,CNC,PLT3
PO100227,FG0020,Bosch Fan,MED,2025-09-23,32,GRIND,PLT1
PO100228,FG0010,Bosch Camshaft,MED,2025-04-27,66,MILL,PLT1
PO100229,FG0003,Magneti Marelli Radiator,HIGH,2025-06-05,49,CNC,PLT2
PO100230,FG0029,ACDelco Catalytic Converter,LOW,2025-09-03,154,PRESS,PLT1
PO100231,FG0013,Bosch Shock Absorber,MED,2025-10-15,139,GRIND,PLT3
PO100232,FG0006,Aftermarket Timing Belt,HIGH,2025-10-27,187,MILL,PLT2
PO100233,FG0018,Genuine Oil Pump,LOW,2025-04-28,54,ROBOT,PLT3
PO100234,FG0001,Aftermarket Gearbox,MED,2025-10-20,41,MILL,PLT1
PO100235,FG0011,Valeo Radiator,LOW,2025-11-22,60,CNC,PLT2
PO100236,FG0001,Aftermarket Gearbox,MED,2025-11-17,183,CNC,PLT1
PO100237,FG0010,Bosch Camshaft,MED,2025-02-26,68,MILL,PLT1
PO100238,FG0026,Delphi Camshaft,LOW,2025-01-25,106,CNC,PLT1
PO100239,FG0016,OEM Caliper,LOW,2025-01-01,26,MILL,PLT3
PO100240,FG0008,Delphi Exhaust Manifold,MED,2025-10-10,28,CNC,PLT2
PO100241,FG0003,Magneti Marelli Radiator,HIGH,2025-08-27,151,GRIND,PLT2
PO100242,FG0025,Performance Fuel Injector,MED,2025-03-03,15,CNC,PLT1
PO100243,FG0020,Bosch Fan,MED,2025-11-11,60,GRIND,PLT2
PO100244,FG0013,Bosch Shock Absorber,MED,2025-07-16,96,GRIND,PLT1
PO100245,FG0017,Valeo Sway Bar,MED,2025-02-03,90,PRESS,PLT2
PO100246,FG0003,Magneti Marelli Radiator,HIGH,2025-09-27,121,PRESS,PLT1
PO100247,FG0030,Magneti Marelli Sensor,MED,2025-10-02,48,MILL,PLT2
PO100248,FG0022,Remanufactured Caliper,LOW,2025-10-01,145,MILL,PLT1
PO100249,FG0026,Delphi Camshaft,LOW,2025-05-15,88,PRESS,PLT2
PO100250,FG0003,Magneti Marelli Radiator,HIGH,2025-03-18,133,ROBOT,PLT3
PO100251,FG0022,Remanufactured Caliper,LOW,2025-02-13,154,CNC,PLT2
PO100252,FG0030,Magneti Marelli Sensor,MED,2025-03-06,40,CNC,PLT1
PO100253,FG0013,Bosch Shock Absorber,MED,2025-10-28,21,PRESS,PLT3
PO100254,FG0006,Aftermarket Timing Belt,HIGH,2025-12-28,172,CNC,PLT3
PO100255,FG0001,Aftermarket Gearbox,MED,2025-08-27,44,MILL,PLT3
PO100256,FG0027,TRW Gearbox,MED,2025-05-24,44,GRIND,PLT3
PO100257,FG0021,Performance Differential,MED,2025-12-23,191,GRIND,PLT2
PO100258,FG0003,Magneti Marelli Radiator,HIGH,2025-03-12,127,PRESS,PLT2
PO100259,FG0005,Remanufactured Gearbox,LOW,2025-08-28,189,PRESS,PLT1
PO100260,FG0008,Delphi Exhaust Manifold,MED,2025-09-26,11,MILL,PLT3
PO100261,FG0025,Performance Fuel Injector,MED,2025-07-21,82,GRIND,PLT2
PO100262,FG0027,TRW Gearbox,MED,2025-09-17,98,CNC,PLT2
PO100263,FG0019,Performance Bearing,HIGH,2025-01-19,186,ROBOT,PLT2
PO100264,FG0003,Magneti Marelli Radiator,HIGH,2025-06-27,127,PRESS,PLT1
PO100265,FG0021,Performance Differential,MED,2025-06-02,59,ROBOT,PLT1
PO100266,FG0020,Bosch Fan,MED,2025-10-29,76,MILL,PLT1
PO100267,FG0028,ACDelco Bearing,LOW,2025-05-21,153,PRESS,PLT1
PO100268,FG0027,TRW Gearbox,MED,2025-07-10,40,PRESS,PLT2
PO100269,FG0008,Delphi Exhaust Manifold,MED,2025-07-25,131,ROBOT,PLT3
PO100270,FG0001,Aftermarket Gearbox,MED,2025-01-25,78,CNC,PLT1
PO100271,FG0015,Aftermarket Airbag Module,MED,2025-03-19,123,GRIND,PLT3
PO100272,FG0029,ACDelco Catalytic Converter,LOW,2025-08-24,157,CNC,PLT3
PO100273,FG0018,Genuine Oil Pump,LOW,2025-11-21,28,MILL,PLT3
PO100274,FG0012,OEM Catalytic Converter,HIGH,2025-06-23,169,GRIND,PLT2
PO100275,FG0029,ACDelco Catalytic Converter,LOW,2025-01-22,74,PRESS,PLT2
PO100276,FG0005,Remanufactured Gearbox,LOW,2025-08-02,98,CNC,PLT1
PO100277,FG0022,Remanufactured Caliper,LOW,2025-09-06,15,PRESS,PLT3
PO100278,FG0023,ACDelco Oil Pump,HIGH,2025-02-06,88,PRESS,PLT1
PO100279,FG0023,ACDelco Oil Pump,HIGH,2025-06-04,109,CNC,PLT1
PO100280,FG0018,Genuine Oil Pump,LOW,2025-02-19,133,GRIND,PLT1
PO100281,FG0004,Valeo Drive Shaft,MED,2025-04-27,75,PRESS,PLT1
PO100282,FG0028,ACDelco Bearing,LOW,2025-01-21,109,PRESS,PLT2
PO100283,FG0004,Valeo Drive Shaft,MED,2025-04-07,186,ROBOT,PLT2
PO100284,FG0010,Bosch Camshaft,MED,2025-03-16,162,GRIND,PLT1
PO100285,FG0013,Bosch Shock Absorber,MED,2025-12-06,142,CNC,PLT3
PO100286,FG0009,TRW Crankshaft,LOW,2025-02-09,19,CNC,PLT2
PO100287,FG0002,Bosch Timing Belt,MED,2025-08-15,87,CNC,PLT1
PO100288,FG0029,ACDelco Catalytic Converter,LOW,2025-11-08,192,ROBOT,PLT1
PO100289,FG0024,Denso Turbocharger,HIGH,2025-10-27,141,MILL,PLT1
PO100290,FG0027,TRW Gearbox,MED,2025-12-30,94,CNC,PLT1
PO100291,FG0015,Aftermarket Airbag Module,MED,2025-05-27,21,PRESS,PLT2
PO100292,FG0012,OEM Catalytic Converter,HIGH,2025-12-13,26,MILL,PLT3
PO100293,FG0006,Aftermarket Timing Belt,HIGH,2025-10-22,185,CNC,PLT3
PO100294,FG0010,Bosch Camshaft,MED,2025-12-24,71,MILL,PLT2
PO100295,FG0015,Aftermarket Airbag Module,MED,2025-06-30,65,GRIND,PLT3
PO100296,FG0022,Remanufactured Caliper,LOW,2025-05-19,163,PRESS,PLT3
PO100297,FG0005,Remanufactured Gearbox,LOW,2025-08-02,99,CNC,PLT2
PO100298,FG0030,Magneti Marelli Sensor,MED,2025-04-28,51,CNC,PLT3
PO100299,FG0026,Delphi Camshaft,LOW,2025-02-07,161,GRIND,PLT1
PO100300,FG0009,TRW Crankshaft,LOW,2025-08-04,119,PRESS,PLT3
PO100301,FG0006,Aftermarket Timing Belt,HIGH,2025-05-30,93,MILL,PLT3
PO100302,FG0009,TRW Crankshaft,LOW,2025-08-20,82,GRIND,PLT3
PO100303,FG0012,OEM Catalytic Converter,HIGH,2025-12-07,148,PRESS,PLT3
PO100304,FG0028,ACDelco Bearing,LOW,2025-05-01,61,MILL,PLT3
PO100305,FG0025,Performance Fuel Injector,MED,2025-07-27,82,MILL,PLT1
PO100306,FG0029,ACDelco Catalytic Converter,LOW,2025-08-29,76,MILL,PLT2
PO100307,FG0029,ACDelco Catalytic Converter,LOW,2025-04-28,194,PRESS,PLT1
PO100308,FG0006,Aftermarket Timing Belt,HIGH,2025-05-19,111,CNC,PLT1
PO100309,FG0004,Valeo Drive Shaft,MED,2025-03-02,105,ROBOT,PLT3
PO100310,FG0023,ACDelco Oil Pump,HIGH,2025-05-23,174,PRESS,PLT3
PO100311,FG0011,Valeo Radiator,LOW,2025-07-25,154,ROBOT,PLT2
PO100312,FG0016,OEM Caliper,LOW,2025-04-04,109,GRIND,PLT3
PO100313,FG0022,Remanufactured Caliper,LOW,2025-12-05,44,MILL,PLT1
PO100314,FG0016,OEM Caliper,LOW,2025-09-02,198,CNC,PLT2
PO100315,FG0015,Aftermarket Airbag Module,MED,2025-12-12,170,PRESS,PLT1
PO100316,FG0022,Remanufactured Caliper,LOW,2025-12-04,185,MILL,PLT3
PO100317,FG0021,Performance Differential,MED,2025-01-02,127,CNC,PLT3
PO100318,FG0007,Sport Shock Absorber,MED,2025-09-06,183,MILL,PLT1
